,time,magnitude
0,0.0,68853
1,12.0,167
2,20.0,262
3,28.0,3906
4,45.0,359
5,51.0,3292
6,57.0,22845
7,80.0,701
8,84.0,180
9,96.0,417
10,101.0,144
11,102.0,7876
12,111.0,418
13,121.0,448
14,129.0,354949
15,132.0,499
16,142.0,2208
17,146.0,430
18,146.0,2131
19,150.0,24301
20,157.0,606
21,157.0,167
22,158.0,560
23,163.0,532
24,167.0,277
25,173.0,12890
26,175.0,484
27,176.0,317
28,180.0,767
29,183.0,208
30,184.0,7205
31,185.0,1460
32,195.0,868
33,197.0,269
34,201.0,265
35,209.0,12534
36,216.0,240
37,227.0,46
38,228.0,480
39,228.0,149
40,230.0,511
41,234.0,141
42,242.0,43
43,250.0,1708
44,266.0,201
45,267.0,4114
46,269.0,475
47,270.0,218
48,273.0,342
49,274.0,1345
50,274.0,634
51,276.0,1885
52,278.0,1505
53,281.0,834
54,285.0,1200
55,286.0,1098
56,288.0,1330
57,292.0,232
58,294.0,119
59,296.0,425
60,301.0,75
61,310.0,191
62,311.0,256
63,313.0,123
64,313.0,27468
65,320.0,19
66,322.0,1055
67,322.0,4639
68,323.0,109
69,327.0,762
70,335.0,71
71,336.0,720
72,339.0,1265
73,351.0,12831
74,352.0,172
75,353.0,168
76,361.0,6944
77,363.0,42
78,373.0,3826
79,377.0,772
80,378.0,809
81,385.0,816
82,389.0,321
83,392.0,332
84,402.0,459
85,412.0,247
86,423.0,475
87,424.0,16
88,436.0,126
89,440.0,6825
90,444.0,431
91,456.0,3171
92,459.0,109
93,464.0,190
94,477.0,698
95,482.0,427
96,492.0,181
97,496.0,486
98,499.0,138
99,500.0,96
100,519.0,1594
101,522.0,1210
102,529.0,389
103,533.0,317
104,534.0,139
105,543.0,495
106,566.0,45
107,569.0,343
108,583.0,173388
109,593.0,913
110,595.0,999
111,596.0,126
112,608.0,76
113,610.0,203
114,621.0,296
115,626.0,1208
116,628.0,551
117,628.0,204
118,636.0,354
119,636.0,371
120,654.0,972
121,662.0,1110
122,669.0,469
123,674.0,3833
124,684.0,1829
125,687.0,93
126,695.0,619
127,699.0,500
128,700.0,9202
129,704.0,965
130,711.0,917
131,719.0,14443
132,720.0,2647
133,723.0,3886
134,729.0,93
135,736.0,1699
136,737.0,610
137,741.0,78
138,753.0,3118
139,755.0,173
140,758.0,487
141,761.0,402
142,773.0,2707
143,774.0,2139
144,775.0,395
145,784.0,82
146,794.0,654
147,799.0,156
148,805.0,107
149,811.0,69
150,818.0,232
151,820.0,1370
152,822.0,21
153,830.0,181
154,846.0,2643
155,847.0,135113
156,850.0,211
157,862.0,566
158,868.0,37
159,872.0,235
160,875.0,805
161,877.0,1458
162,877.0,113
163,877.0,2258
164,893.0,50
165,893.0,51
166,894.0,25662
167,898.0,464
168,907.0,783
169,908.0,2673
170,913.0,12194
171,920.0,63
172,923.0,1890
173,942.0,519
174,942.0,33
175,945.0,1085
176,956.0,3951
177,963.0,22
178,979.0,11779
179,994.0,951
180,1007.0,26
181,1015.0,208
182,1027.0,175
183,1037.0,17445
184,1037.0,704
185,1039.0,928
186,1041.0,1342
187,1042.0,2673
188,1042.0,6380
189,1048.0,26534
190,1051.0,68
191,1066.0,170
192,1072.0,3921
193,1072.0,13937
194,1074.0,32
195,1079.0,1934
196,1083.0,2855
197,1083.0,96
198,1086.0,1039
199,1095.0,278
200,1095.0,87
201,1106.0,7913
202,1113.0,4034
203,1121.0,5775
204,1127.0,525
205,1128.0,94
206,1130.0,355
207,1132.0,14
208,1137.0,1264
209,1146.0,801
210,1148.0,121
211,1151.0,967
212,1170.0,8
213,1173.0,1630
214,1174.0,336
215,1179.0,258
216,1188.0,1971
217,1193.0,38
218,1203.0,1186
219,1222.0,1176
220,1224.0,1448
221,1233.0,765
222,1238.0,2328
223,1248.0,33
224,1248.0,120
225,1253.0,1823
226,1266.0,1868
227,1269.0,4867
228,1271.0,443
229,1282.0,694
230,1287.0,78
231,1301.0,93
232,1302.0,10
233,1319.0,102
234,1322.0,1461
235,1328.0,184
236,1340.0,1334
237,1357.0,2745
238,1361.0,15752
239,1377.0,150
240,1380.0,387
241,1380.0,2778
242,1380.0,884
243,1391.0,66
244,1398.0,669
245,1399.0,6294
246,1400.0,660
247,1400.0,2471
248,1406.0,1227
249,1407.0,278
250,1413.0,886
251,1418.0,292
252,1428.0,652
253,1439.0,3324
254,1440.0,396
255,1450.0,117
256,1459.0,958
257,1463.0,384
258,1468.0,1138
259,1472.0,231
260,1475.0,381
261,1475.0,676
262,1477.0,1013
263,1483.0,2945
264,1486.0,148
