,time,magnitude
379,787.0,84
380,794.0,15718
381,795.0,2693
382,797.0,2978
383,799.0,39
384,801.0,2467
385,806.0,347
386,807.0,657
387,807.0,3921
388,809.0,438
389,815.0,413
390,818.0,3212
391,819.0,2667
392,820.0,2663
393,822.0,32
394,825.0,11882
395,828.0,35
396,844.0,1148
397,846.0,173
398,846.0,40
399,848.0,11436
400,850.0,114
401,852.0,94
402,855.0,1739
403,857.0,580
404,860.0,1051
405,861.0,341
406,866.0,167
407,871.0,168
408,885.0,46
409,892.0,4717
410,892.0,316
411,893.0,4071
412,894.0,3470
413,898.0,24
414,900.0,47
415,907.0,149
416,923.0,2113
417,925.0,3318
418,929.0,2728
419,935.0,2228
420,937.0,1405
421,942.0,81
422,943.0,98
423,943.0,2298
424,944.0,614
425,947.0,549
426,948.0,3269
427,952.0,723
428,954.0,276
429,956.0,45
430,958.0,317
431,962.0,8977
432,964.0,2374
433,966.0,5417
434,972.0,1754
435,975.0,1037
436,980.0,2441
437,984.0,47
438,989.0,257
439,992.0,120
440,1000.0,1666
441,1000.0,7964
442,1001.0,37664
443,1004.0,287
444,1004.0,901
445,1006.0,219
446,1006.0,635
447,1007.0,330
448,1014.0,63
449,1018.0,3838
450,1023.0,1627
451,1027.0,1431
452,1028.0,2641
453,1032.0,2918
454,1035.0,476
455,1040.0,67
456,1042.0,961
457,1042.0,2529
458,1043.0,97
459,1044.0,2178
460,1049.0,15364
461,1058.0,2719
462,1059.0,84
463,1059.0,193
464,1073.0,226
465,1079.0,61
466,1081.0,1121
467,1089.0,2440
468,1091.0,3115
469,1096.0,129
470,1096.0,298
471,1096.0,2796
472,1098.0,281
473,1100.0,484
474,1107.0,48
475,1113.0,149
476,1115.0,58
477,1116.0,20
478,1118.0,14749
479,1120.0,538
480,1121.0,647
481,1123.0,2234
482,1125.0,416
483,1126.0,3350
484,1126.0,3156
485,1127.0,110
486,1130.0,837
487,1133.0,58
488,1137.0,148
489,1138.0,94
490,1140.0,1138
491,1151.0,56
492,1151.0,139
493,1155.0,121
494,1155.0,233
495,1158.0,41
496,1160.0,1715
497,1166.0,279
498,1170.0,128
499,1172.0,828
500,1179.0,1306
501,1184.0,64
502,1189.0,18
503,1192.0,656
504,1201.0,7033
505,1203.0,757
506,1203.0,16970
507,1208.0,964
508,1209.0,5897
509,1213.0,1557
510,1217.0,59
511,1218.0,240
512,1226.0,553
513,1229.0,10208
514,1229.0,837
515,1231.0,11463
516,1238.0,15693
517,1238.0,426
518,1240.0,73
519,1245.0,2914
520,1248.0,52
521,1248.0,1650
522,1257.0,325
523,1259.0,135
524,1263.0,69
525,1265.0,786
526,1267.0,897
527,1276.0,794
528,1279.0,33367
529,1280.0,3902
530,1281.0,98
531,1283.0,3728
532,1290.0,1621
533,1294.0,3215
534,1295.0,1439
535,1298.0,1066
536,1300.0,2326
537,1301.0,274
538,1302.0,367
539,1302.0,829
540,1303.0,201
541,1314.0,13
542,1330.0,19
543,1337.0,818
544,1342.0,5241
545,1346.0,881
546,1355.0,2446
547,1358.0,4859
548,1364.0,672
549,1366.0,757
550,1368.0,6262
551,1373.0,1050
552,1376.0,60
553,1382.0,2158
554,1384.0,2968
555,1391.0,5905
556,1391.0,671
557,1392.0,1881
558,1395.0,403
559,1404.0,550
560,1408.0,17
561,1414.0,3545
562,1416.0,1293
563,1420.0,179
564,1423.0,151
565,1430.0,4670
566,1431.0,2874
567,1432.0,7
568,1436.0,500
569,1447.0,169
570,1449.0,308
571,1453.0,378
572,1453.0,155
573,1457.0,153
